Player,Archetype,Round 1,        ,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,,Round 7,,Round 8,,Round 9 ,,Round 10 ,,Round 11,,Round 12,,Round 13,,Round 14,,Round 15,,,,Final Standing
albertoSD,White Stompy,Kinarus,2-1,kobayui,0-2,SAWATARIX,2-0,Yamaro,2-1,Supercazzola,2-1,almostomniscient,1-2,Xen0neb,2-1,Tsubasa_Cat,1-2,Michelino,0-2,,,,,,,,,,,,,,,91
Martinho1111,8Cast,LuisMJ,2-1,mattiwnl,2-1,beware_the_water,2-1,JUJUBEAN__2004,0-2,Slasher21,1-2,yuyan,2-1,MarioBBrega,1-2,GreatApe,1-2,Harryhaz1,2-0,wildespony,1-2,,,,,,,,,,,,,92
Dmags0917,Lands,j27c58794,2-0,Vansguy,0-2,LegacyBrewPub,2-1,handsomePPZ,2-1,AlphaBlade,2-0,MentalMisstep,2-1,bennybo,0-2,larkblue,0-2,,,,,,,,,,,,,,,,,93
johnsmith3373,RUG Cascade,DragonDayDragon,2-1,Radziolot,2-1,unluckymonkey,0-2,ZYURYO,2-0,TheDullard,2-1,satu2112,2-1,Baku_91,1-2,Oceansoul92,0-2,reisyasu,0-2,,,,,,,,,,,,,,,94
Darkmattergun,Burn/Red Prowess,Azpergillus666,2-1,jamiewvh,2-0,LasVegasChaos,2-1,unluckymonkey,0-2,fluffy21,0-2,buildorburn,0-2,seblba,2-0,otakkun,2-0,Didisoso91,0-2,ganesh_69,0-2,,,,,,,,,,,,,95
nathansteuer,UR Delver,_Batutinha_,2-0,yekcat,2-1,codyoung,2-1,Udon1590,2-1,satu2112,2-1,wizardpasta,1-2,xJCloud,1-2,gatekappa,1-2,,,,,,,,,,,,,,,,,96
MeTheKaptain,TES,xJCloud,0-2,AFX,2-0,RonColpoCinese,1-2,Bozo_0388,2-0,wara,2-0,ik1cksquirrels,1-2,sumimasen,2-0,ganesh_69,2-0,Aegisaziz,1-2,Azpergillus666,1-2,,,,,,,,,,,,,97
bless_von,Other Tempo,alex2,1-2,Whispering,2-0,manadra1n,2-1,sora1248,2-1,wooop_orc,2-1,MartinMedMitten,2-0,thestudygroup,1-2,XxShuicunexX,0-2,,,,,,,,,,,,,,,,,98
416FrowningTable,White Stompy,BattleMom,2-0,satu2112,0-2,denounce,2-0,ktmr-39,2-1,larkblue,2-1,FirstToThirst,1-2,hktknbr,2-0,buildorburn,2-0,DragonDayDragon,1-2,,,,,,,,,,,,,,,99
WingedHussar,4C Control,tom533,2-0,Jpsn54,2-1,TheDullard,2-0,Beekeeper,2-0,medvedev,0-2,JoergHeinrich,0-2,Alakazimdk,0-2,B-Carp,2-0,MTGHolic,0-2,buildorburn,0-2,,,,,,,,,,,,,100
